Sentence ID,Sentence,isValid,Unique ID
5,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",False,U_1
20,The effect of PROTEIN1 was also inhibited in the presence of the PROTEIN2 inhibitor calphostin C,True,U_7
35,"We conclude that: (1) PROTEIN1 causes a rapid, and reversible, phosphorylation of the MARCKS protein in the ovine anterior pituitary; (2) since the PROTEIN2 induced increase in MARCKS phosphorylation occurs much earlier in these cells than does PROTEIN trans-location, MARCKS phosphorylation may provide a more sensitive index of the onset of PROTEIN activation than the translocation assay; (3) the close temporal association between MARCKS phosphorylation and the rapid early release of ACTH suggests that MARCKS phosphorylation may be involved in the initial intracellular events that underly exocytosis of the hormone.",False,U_13
50,"Pretreatment for 24 h with 1 microM PMA downregulated expression of PROTEIN1 and -delta, but not PROTEIN2 and prevented the Ca2+-spiking responses to either 1 nM PMA or 100 pM PROTEIN ",False,U_24
65,"These data suggest that the in vivo gene expression of FAT/CD36, PPAR-gamma2, PROTEIN1 PROTEIN PROTEIN2 and TNF-alpha in subcutaneous adipose tissue is regulated by circulating lipids independent of insulin and that prolonged hyperlipidemia may therefore contribute to increased fat metabolism and storage as a result of the increased expression of these proteins",False,U_29
80,"Biphasic PROTEIN1 secretion can be evoked and time-dependent potentiation can be induced in mouse islets by carbachol, an agonist that activates an isozyme of PROTEIN2 distinct from that activated by glucose",True,U_37
95,"Pretreatment of HEK-293 cells for 2 min with carbachol, a mAChR agonist, lysophosphatidic acid, or ATP, followed by agonist washout, strongly increased (by 2-3-fold) maximal PROTEIN1 stimulation (measured >/=40 min later) by epidermal growth factor and platelet-derived growth factor, but not PROTEIN2 and largely enhanced PROTEIN sensitivity to these RTK agonists",False,U_47
110,Stimulation of 5HT-1D receptors with sumatriptan was unable to change neither AVP nor PROTEIN1 response to PROTEIN2 induced hypoglycemia,True,U_52
125,"While PROTEIN1 maintains or favors energy-dissipating mechanisms ( PROTEIN2 PROTEIN and PROTEIN , the latter are markedly depressed in pair-fed rats",True,U_62
140,DESIGN: Case-control study: the PROTEIN1 response to PROTEIN2 induced hypoglycaemia was measured in normal and diabetic patients with or without residual endogenous PROTEIN secretion,True,U_68
155,These results disclose the potential of the PROTEIN1 to modulate the activity of PROTEIN a pleiotropic PROTEIN2 that is particularly abundant in the brain,False,U_82
170,Within 20 min after exposure to PROTEIN1 PROTEIN2 secretion from hypothalamic preparations obtained from adrenalectomized mice was lowered by 27% and CRH secretion was elevated by 51%,True,U_92
185,The PROTEIN1 antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN2 levels itself and therefore the effect on PROTEIN induced PROTEIN secretion was difficult to evaluate,False,U_105
200,"In obese (db/db) animals, brown fat was composed mainly of small unilocular, PROTEIN1 positive adipocytes (mean diameter: 40.08 microns), which were also PROTEIN2 positive",False,U_115
