Sentence ID	Sentence
10	SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN1 than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16
25	We have recently shown that PROTEIN1 causes a PROTEIN2 (PKC)-dependent increase in ACTH release and biosynthesis in ovine anterior pituitary cells
40	 PROTEIN1 (PKC) inhibitors reversed PROTEIN2 inhibition, whereas PROTEIN activator inhibited nitrite production
55	Induction of fatty acid translocase/CD36, peroxisome proliferator-activated receptor-gamma2, PROTEIN1 PROTEIN and PROTEIN2 and tumor necrosis factor-alpha gene expression in human subcutaneous fat by lipid infusion
70	Dietary intakes of PROTEIN PROTEIN1 and PROTEIN by Japanese women and the inverse correlation between quercetin intake and plasma LDL PROTEIN2 concentration
85	This PROTEIN1 stimulation by PROTEIN2 beta protein appeared to be pertussis toxin sensitive
100	Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN1 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN2 specific PROTEIN 
115	The activity of the MAPKs, induced by PROTEIN1 or PMA was inhibited by downregulation of PROTEIN2 (PKC), by the tyrosine kinase inhibitor genistein and by MAPK kinase (MEK) inhibitor, PD98059
130	While PROTEIN maintains or favors energy-dissipating mechanisms ( PROTEIN PROTEIN1 and PROTEIN2 , the latter are markedly depressed in pair-fed rats
145	The regulation of PROTEIN1 genes by PROTEIN2 therefore involves an interplay of at least three different types of transcription factor
160	In the present study we found that at increasing PROTEIN concentrations, increasing numbers of barley (Hordeum vulgare) cells showed the enhanced PROTEIN1 secretion and vacuolation characteristic of the PROTEIN2 response
175	All four agonists caused a biphasic release of 45Ca2+ from non-mitochondrial pool(s), with the rank order of potency: PROTEIN1 > PGF2 alpha > ET-1 > PROTEIN2 
190	The PROTEIN antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN levels itself and therefore the effect on PROTEIN1 induced PROTEIN2 secretion was difficult to evaluate
205	HvSPY coexpression largely abolished PROTEIN1 induced activity of an PROTEIN2 promoter.
220	It was shown that, in the absence of exogenous Ca2+, neomycin markedly reduced the germination speed and seedling growth of rice seeds and inhibited the PROTEIN1 induced expression of PROTEIN2 in both secretory tissues
235	During luteinization of bovine granulosa cells in vitro in the presence of PROTEIN or PROTEIN1 plus forskolin, there is a massive upregulation not only of progesterone production, but also of the gene for the peptide hormone PROTEIN2 with secretion of the peptide into the medium
250	OBJECTIVE: In order to elucidate the roles of PROTEIN (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of PROTEIN1 induced by PROTEIN2 and the OT receptor levels were determined in rabbit myometria before and after parturition
265	Co-injection of SHU9119 also inhibited completely the PROTEIN1 induced increase in PROTEIN2 mRNA expression in the BAT
280	The expression of uterine PROTEIN and PROTEIN1 were up-regulated by 3.2- and 1.5-fold, respectively, during the late stage of pregnancy with an increase of WAT PROTEIN mRNA expression and exogenous administration of PROTEIN resulted in induction of the uterine PROTEIN2 and PROTEIN levels
295	 PROTEIN1 was necessary in PROTEIN2 but not in LPA-induced activation of p70 S6K
310	A reduction of food intake imposed on control rats (pair-feeding), aimed at mimicking PROTEIN1 induced hyperphagia, produced a marked decrease in the expression of muscle PROTEIN (UCP-3), whereas ICV infusion of PROTEIN prevented such a decrease in PROTEIN2 
325	Gibbestatin B inhibits the PROTEIN1 induced expression of PROTEIN2 expression in cereal seeds [In Process Citation]
340	Adenovirus-mediated overexpression of PROTEIN1 delta1, -beta1, or -beta3 in INS-1 or betaG 40/110 cells results in little or no enhancement in inositol phosphate (IP) accumulation and no improvement in PROTEIN2 secretion when the cells are stimulated with glucose or carbachol, despite the fact that the overexpressed proteins are fully active in cell extracts.
355	Only PROTEIN1 alone increased the formation of PROTEIN2 in cells from ovariectomized pigs treated with estradiol in vivo (p < 0.01)
370	To determine the functional significance of the interaction of PROTEIN1 and the IR, we used a specific inhibitor of PROTEIN U73122, or microinjection of SH2 domain glutathione S-transferase fusion proteins derived from PROTEIN2 to block PROTEIN stimulated GLUT4 translocation
385	Denervation suppressed mRNA levels for PROTEIN (49%), PROTEIN1 (36%), and COX-IV (59%) and eliminated the acute response to PROTEIN2 in SM
400	 PROTEIN1 (PLC) activity was investigated by stimulation of membrane preparations obtained from PROTEIN2 (beta-TC3)-, somatostatin (Rin 1027-B2)-, and glucagon (INR1-G9)-producing pancreatic cell lines using the non-hydrolyzable GTP analogue GTPgammaS alone, the C-terminal octapeptide cholecystokinin (CCK-8), or gastrin
415	 PROTEIN1 (OT) and vasopressin (AVP) stimulate PROTEIN and glucagon release from the pancreas, and evoke PROTEIN2 secretion from the rat insulinoma cell line, RINm5F
430	The action of PGF2 alpha depends on extracellular Ca2+, whereas PROTEIN1 activates the G-protein-dependent phospholipase-C- PROTEIN2 Ca2+ signal-transducing pathway, complemented by the influx of extracellular Ca2+
445	U-73122 at 8 mumol.L-1 totally abolished the PROTEIN1 induced increases in [Ca2+]i and PROTEIN2 however it reduced the PROTEIN induced increase in insulin release only by 36% and 63% in the monolayer and suspended cell preparations, respectively
460	Centrally administered PROTEIN1 has been shown to increase insulin-stimulated glucose utilization and to favor the expression of PROTEIN2 (UCPs)
