Sentence ID	Sentence
210	We examined plasma PROTEIN PROTEIN1 mRNA, and adipose and muscle PROTEIN2 subtype mRNA in rats treated with alpha-methyl-p-tyrosine methyl ester (AMPT-ME), which inhibits catecholamine synthesis and 6-hydroxydopamine (6HDA), which is toxic to catecholinergic nerve terminals but, unlike AMPT-ME, does not enter the central nervous system
211	Intraperitoneal 6HDA, 100 mg/kg, as a single dose at 1800, increased plasma PROTEIN1 approximately twofold after 18-20 h, increased IBAT (but not epididymal fat) PROTEIN2 mRNA by two- to threefold, and decreased IBAT PROTEIN mRNA to 30-40% of control
212	Intraperitoneal 6HDA, 100 mg/kg, as a single dose at 1800, increased plasma PROTEIN1 approximately twofold after 18-20 h, increased IBAT (but not epididymal fat) PROTEIN mRNA by two- to threefold, and decreased IBAT PROTEIN2 mRNA to 30-40% of control
213	Intraperitoneal 6HDA, 100 mg/kg, as a single dose at 1800, increased plasma PROTEIN approximately twofold after 18-20 h, increased IBAT (but not epididymal fat) PROTEIN1 mRNA by two- to threefold, and decreased IBAT PROTEIN2 mRNA to 30-40% of control
214	However, the in vivo modulation of PROTEIN1 and PROTEIN2 appears complex and, beyond a causal effect of SNA per se, may depend on concurrent changes in plasma insulin, glucose, and circulatory hemodynamics
215	Furthermore, in SN-56/OBR cells both CNTF and PROTEIN1 produce changes in neurotransmitter and neuropeptide phenotype characteristic of cholinergic neurons, such as an increase in choline acetyltransferase and vasoactive intestinal polypeptide, and a decrease in PROTEIN2 expression
216	Possible central nervous system (CNS) mechanisms could mediate these responses in that leptin receptors are located on hypothalamic neurons that coexpress PROTEIN1 (NPY) or proopiomelanocortin (POMC) and both peptides that have been implicated as mediators of the CNS action of PROTEIN2 
217	 PROTEIN1 has been demonstrated to decrease or down regulate PROTEIN2 expression and increase POMC expression
218	Interestingly, both 5-HT and PROTEIN1 modulate the action of PROTEIN2 which may form a part of a common output pathway for the expression of appetite
219	We have studied the effects of neomycin, a potent inhibitor of inositol phospholipid-specific phospholipase C (PLC), on the germination of rice seed and the PROTEIN1 induced expression of PROTEIN2 in the aleurone layer and the scutellar tissues
220	It was shown that, in the absence of exogenous Ca2+, neomycin markedly reduced the germination speed and seedling growth of rice seeds and inhibited the PROTEIN1 induced expression of PROTEIN2 in both secretory tissues
221	These results strongly suggest that the phosphoinositide-Ca2+ signal transduction pathway may play an important role in the PROTEIN1 induced expression of PROTEIN2 molecules closely related to the germination processes of rice seed
222	C75 inhibited expression of the prophagic signal PROTEIN1 in the hypothalamus and acted in a PROTEIN2 independent manner that appears to be mediated by malonyl-coenzyme A
223	Interactions between PROTEIN1 and PROTEIN2 affecting lipid mobilization in adipose tissue
224	The aim of the current investigations was focused on the study of the involvement of PROTEIN1 and PROTEIN2 in lipid mobilization
225	The lipolytic rate was assessed through glycerol release after incubation with PROTEIN1 and PROTEIN2 at concentrations ranging from 10(-6) to 10(-12) M in isolated adipocytes obtained from female rats
226	At equimolar concentrations of PROTEIN1 and PROTEIN2 (10(-12) to 10(-6) M) the observed lipolytic activity is comparable to the basal lipolytic activity, except at a concentration of 10(-9) M where upon a significant increase in lipolysis is observed
227	Summing up, new evidence suggests that PROTEIN1 and PROTEIN2 may interact in a homeostatic loop to regulate body-fat mass and energy balance not only at the central nervous system level, but also directly at the adipocyte level
228	Similarly, central PROTEIN1 treatment also had a greater effect in suppressing hypothalamic PROTEIN2 mRNA expression in young (-23+/-4%) than in old (-8+/-4%) rats compared with their age-matched pair-fed treated rats
229	 PROTEIN1 stimulated PROTEIN2 turnover in endometrium of ewes is influenced by stage of the estrous cycle, pregnancy, and intrauterine infusion of ovine conceptus secretory proteins
